cell_id,latitude,longitude,solar_score,specific_yield_kwh_kwp,reference_yield_800w_kwh,reference_energy_value_eur,sample_bucket,sample_grid_m,pvgis_version
CRS3035RES100mN3092300E4097100,50.8987585,6.8169904,69,759.1,607.3,144.53,E4097000N3092000,1000,PVGIS 5.3
CRS3035RES100mN3092400E4096400,50.8993823,6.8069867,69,758.6,606.9,144.45,E4096000N3092000,1000,PVGIS 5.3
CRS3035RES100mN3092400E4097600,50.8998517,6.8240306,69,759.1,607.3,144.53,E4097000N3092000,1000,PVGIS 5.3
CRS3035RES100mN3092400E4120200,50.9082225,7.1450808,46,722.8,578.2,137.62,E4120000N3092000,1000,PVGIS 5.3
CRS3035RES100mN3092500E4099400,50.9014490,6.8495362,71,760.6,608.5,144.81,E4099000N3092000,1000,PVGIS 5.3
CRS3035RES100mN3092500E4107300,50.9044516,6.9617548,59,744.8,595.8,141.81,E4107000N3092000,1000,PVGIS 5.3
CRS3035RES100mN3092600E4096300,50.9011390,6.8054431,69,758.6,606.9,144.45,E4096000N3092000,1000,PVGIS 5.3
CRS3035RES100mN3092800E4109500,50.9079626,6.9928336,58,744.6,595.6,141.76,E4109000N3092000,1000,PVGIS 5.3
CRS3035RES100mN3092900E4097400,50.9042634,6.8208830,69,759.1,607.3,144.53,E4097000N3092000,1000,PVGIS 5.3
CRS3035RES100mN3092900E4104700,50.9070675,6.9245830,63,748.8,599.0,142.57,E4104000N3092000,1000,PVGIS 5.3
CRS3035RES100mN3092900E4109800,50.9089713,6.9970377,58,744.6,595.6,141.76,E4109000N3092000,1000,PVGIS 5.3
CRS3035RES100mN3093400E4110100,50.9135722,7.0010103,57,744.2,595.4,141.7,E4110000N3093000,1000,PVGIS 5.3
CRS3035RES100mN3093500E4095000,50.9087088,6.7864201,70,760.1,608.1,144.72,E4095000N3093000,1000,PVGIS 5.3
CRS3035RES100mN3093600E4096200,50.9100791,6.8034054,69,758.7,607.0,144.46,E4096000N3093000,1000,PVGIS 5.3
CRS3035RES100mN3093600E4116400,50.9176546,7.0904172,51,732.0,585.6,139.36,E4116000N3093000,1000,PVGIS 5.3
CRS3035RES100mN3093700E4116800,50.9186955,7.0960453,51,732.0,585.6,139.36,E4116000N3093000,1000,PVGIS 5.3
CRS3035RES100mN3094000E4109400,50.9187022,6.9907154,59,745.0,596.0,141.86,E4109000N3094000,1000,PVGIS 5.3
CRS3035RES100mN3094100E4112300,50.9206649,7.0318687,58,744.6,595.7,141.77,E4112000N3094000,1000,PVGIS 5.3
CRS3035RES100mN3094300E4103300,50.9191089,6.9038573,63,749.2,599.4,142.65,E4103000N3094000,1000,PVGIS 5.3
CRS3035RES100mN3094400E4096400,50.9173411,6.8057531,70,759.5,607.6,144.61,E4096000N3094000,1000,PVGIS 5.3
CRS3035RES100mN3094400E4116200,50.9247679,7.0871248,52,732.2,585.7,139.41,E4116000N3094000,1000,PVGIS 5.3
CRS3035RES100mN3095100E4096200,50.9235481,6.8024790,70,759.6,607.7,144.63,E4096000N3095000,1000,PVGIS 5.3
CRS3035RES100mN3095300E4100900,50.9271708,6.8691495,73,761.5,609.2,144.98,E4100000N3095000,1000,PVGIS 5.3
CRS3035RES100mN3095400E4100700,50.9279918,6.8662466,73,761.5,609.2,144.98,E4100000N3095000,1000,PVGIS 5.3
CRS3035RES100mN3095400E4100900,50.9280688,6.8690890,73,761.5,609.2,144.98,E4100000N3095000,1000,PVGIS 5.3
CRS3035RES100mN3095400E4112800,50.9325220,7.0382303,59,744.8,595.8,141.8,E4112000N3095000,1000,PVGIS 5.3
CRS3035RES100mN3095500E4103500,50.9299609,6.9059819,63,749.3,599.4,142.66,E4103000N3095000,1000,PVGIS 5.3
CRS3035RES100mN3095500E4103600,50.9299988,6.9074032,63,749.3,599.4,142.66,E4103000N3095000,1000,PVGIS 5.3
CRS3035RES100mN3095600E4096600,50.9281948,6.8078548,70,759.6,607.7,144.63,E4096000N3095000,1000,PVGIS 5.3
CRS3035RES100mN3095800E4114200,50.9366219,7.0579038,52,732.4,585.9,139.45,E4114000N3095000,1000,PVGIS 5.3
CRS3035RES100mN3095900E4100100,50.9322504,6.8574156,73,761.5,609.2,144.98,E4100000N3095000,1000,PVGIS 5.3
CRS3035RES100mN3096100E4115900,50.9399281,7.0819023,52,733.0,586.4,139.56,E4115000N3096000,1000,PVGIS 5.3
CRS3035RES100mN3096200E4099500,50.9347123,6.8487048,71,760.2,608.2,144.75,E4099000N3096000,1000,PVGIS 5.3
CRS3035RES100mN3096200E4112800,50.9397065,7.0377723,59,745.0,596.0,141.84,E4112000N3096000,1000,PVGIS 5.3
CRS3035RES100mN3096200E4116100,50.9408979,7.0846894,51,731.7,585.4,139.32,E4116000N3096000,1000,PVGIS 5.3
