cell_id,latitude,longitude,building_count,total_footprint_m2,avg_footprint_m2,coverage_ratio,building_fit,source
CRS3035RES100mN3094200E4107100,50.9196434,6.9579148,28,3728.9,133.2,0.3729,0.9934,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3093900E4104700,50.9160476,6.9239889,29,3918.2,135.1,0.3918,0.9933,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3093900E4097400,50.9132429,6.8202690,25,3921.0,156.8,0.3921,0.9932,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3110500E4111000,51.0674683,7.0038935,25,3922.8,156.9,0.3923,0.9931,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3101300E4119000,50.9877329,7.1230840,24,3725.3,155.2,0.3725,0.9931,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3094300E4104300,50.9194883,6.9180672,20,3723.5,186.2,0.3724,0.9930,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3097900E4106800,50.9527581,6.9514721,34,3723.5,109.5,0.3724,0.9930,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3096100E4111500,50.9383339,7.0193480,23,3923.4,170.6,0.3923,0.9930,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3098100E4104600,50.9537259,6.9200686,23,3723.4,161.9,0.3723,0.9929,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3110300E4112700,51.0662957,7.0282443,23,3928.3,170.8,0.3928,0.9928,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3099400E4106800,50.9662283,6.9505874,39,3784.9,97.0,0.3785,0.9927,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3095300E4106700,50.9293721,6.9515828,24,3929.5,163.7,0.3930,0.9927,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3106600E4113900,51.0335048,7.0474716,29,3933.9,135.7,0.3934,0.9924,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3107900E4110700,51.0440092,7.0011302,26,3934.4,151.3,0.3934,0.9924,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3095100E4106400,50.9274636,6.9474369,38,3936.5,103.6,0.3936,0.9923,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3096700E4110800,50.9434655,7.0090496,26,3936.4,151.4,0.3936,0.9923,Geobasis NRW / ALKIS vereinfacht
