cell_id,name,latitude,longitude,potential_score,housing_density_score,building_fit_score,solar_score,market_gap_score,campaign_score
CRS3035RES100mN3095100E4106400,Raster CRS3035RES100mN3095100E4106400,50.9274636,6.9474369,80,100,99,63,50,50
CRS3035RES100mN3093900E4104700,Raster CRS3035RES100mN3093900E4104700,50.9160476,6.9239889,80,100,99,63,50,50
CRS3035RES100mN3093400E4105100,Raster CRS3035RES100mN3093400E4105100,50.9117085,6.9299691,80,100,99,63,50,50
CRS3035RES100mN3095500E4106400,Raster CRS3035RES100mN3095500E4106400,50.9310557,6.9472009,80,100,99,63,50,50
CRS3035RES100mN3097100E4104700,Raster CRS3035RES100mN3097100E4104700,50.9447837,6.9220859,79,100,94,64,50,50
CRS3035RES100mN3096900E4110600,Raster CRS3035RES100mN3096900E4110600,50.9451881,7.0060902,79,100,99,59,50,50
CRS3035RES100mN3094200E4106700,Raster CRS3035RES100mN3094200E4106700,50.9194938,6.9522307,79,100,97,59,50,50
CRS3035RES100mN3098600E4103800,Raster CRS3035RES100mN3098600E4103800,50.9579126,6.9083933,79,100,99,57,50,50
CRS3035RES100mN3096300E4105500,Raster CRS3035RES100mN3096300E4105500,50.9379016,6.9339345,79,100,96,63,50,50
CRS3035RES100mN3096600E4110200,Raster CRS3035RES100mN3096600E4110200,50.9423467,7.0005768,79,100,98,59,50,50
CRS3035RES100mN3094100E4107300,Raster CRS3035RES100mN3094100E4107300,50.9188201,6.9608156,79,100,99,59,50,50
CRS3035RES100mN3093000E4106200,Raster CRS3035RES100mN3093000E4106200,50.9085302,6.9458337,79,100,96,63,50,50
CRS3035RES100mN3096100E4105700,Raster CRS3035RES100mN3096100E4105700,50.9361809,6.9368961,79,100,96,63,50,50
CRS3035RES100mN3096500E4105800,Raster CRS3035RES100mN3096500E4105800,50.9398105,6.9380808,79,100,94,63,50,50
CRS3035RES100mN3095200E4104000,Raster CRS3035RES100mN3095200E4104000,50.9274567,6.9132675,79,100,97,63,50,50
CRS3035RES100mN3092800E4105900,Raster CRS3035RES100mN3092800E4105900,50.9066215,6.9416898,79,100,95,63,50,50
CRS3035RES100mN3096200E4110600,Raster CRS3035RES100mN3096200E4110600,50.9389017,7.0064954,79,100,98,59,50,50
CRS3035RES100mN3094200E4104400,Raster CRS3035RES100mN3094200E4104400,50.9186282,6.9195477,79,100,94,63,50,50
CRS3035RES100mN3095700E4104100,Raster CRS3035RES100mN3095700E4104100,50.9319846,6.9143905,79,100,94,63,50,50
CRS3035RES100mN3096300E4111000,Raster CRS3035RES100mN3096300E4111000,50.9399467,7.0121243,79,100,97,59,50,50
CRS3035RES100mN3097100E4107500,Raster CRS3035RES100mN3097100E4107500,50.9458356,6.9618965,79,100,97,60,50,50
CRS3035RES100mN3095300E4109900,Raster CRS3035RES100mN3095300E4109900,50.9305615,6.9970663,79,100,97,60,50,50
CRS3035RES100mN3094200E4106900,Raster CRS3035RES100mN3094200E4106900,50.9195687,6.9550728,79,100,98,59,50,50
CRS3035RES100mN3095000E4106200,Raster CRS3035RES100mN3095000E4106200,50.9264906,6.9446534,79,100,96,63,50,50
CRS3035RES100mN3097900E4107100,Raster CRS3035RES100mN3097900E4107100,50.9528703,6.9557382,79,100,98,60,50,50
CRS3035RES100mN3094400E4104300,Raster CRS3035RES100mN3094400E4104300,50.9203863,6.9180077,79,100,97,63,50,50
CRS3035RES100mN3096300E4098300,Raster CRS3035RES100mN3096300E4098300,50.9351445,6.8315867,79,100,90,68,50,50
CRS3035RES100mN3094800E4110800,Raster CRS3035RES100mN3094800E4110800,50.9264025,7.0101479,79,100,98,58,50,50
CRS3035RES100mN3094000E4104800,Raster CRS3035RES100mN3094000E4104800,50.9169834,6.9253505,79,100,97,63,50,50
CRS3035RES100mN3094900E4107100,Raster CRS3035RES100mN3094900E4107100,50.9259296,6.9575034,79,100,98,59,50,50
CRS3035RES100mN3093500E4104500,Raster CRS3035RES100mN3093500E4104500,50.9123799,6.921385,79,100,97,63,50,50
CRS3035RES100mN3094200E4104600,Raster CRS3035RES100mN3094200E4104600,50.9187038,6.9223897,79,97,98,63,50,50
CRS3035RES100mN3094400E4105100,Raster CRS3035RES100mN3094400E4105100,50.9206886,6.929376,79,100,97,63,50,50
CRS3035RES100mN3095800E4111700,Raster CRS3035RES100mN3095800E4111700,50.9357129,7.022364,79,100,100,59,50,50
CRS3035RES100mN3098300E4104600,Raster CRS3035RES100mN3098300E4104600,50.9555219,6.9199495,79,100,99,57,50,50
CRS3035RES100mN3095500E4104400,Raster CRS3035RES100mN3095500E4104400,50.9303022,6.9187738,79,100,94,63,50,50
CRS3035RES100mN3095400E4111600,Raster CRS3035RES100mN3095400E4111600,50.9320841,7.0211727,79,100,99,59,50,50
CRS3035RES100mN3095600E4104300,Raster CRS3035RES100mN3095600E4104300,50.9311623,6.9172929,79,100,96,63,50,50
CRS3035RES100mN3095600E4107200,Raster CRS3035RES100mN3095600E4107200,50.9322532,6.9585131,79,97,100,60,50,50
CRS3035RES100mN3095400E4107400,Raster CRS3035RES100mN3095400E4107400,50.9305318,6.9614734,79,100,97,60,50,50
CRS3035RES100mN3096000E4105700,Raster CRS3035RES100mN3096000E4105700,50.9352828,6.9369553,79,100,97,63,50,50
CRS3035RES100mN3092900E4105900,Raster CRS3035RES100mN3092900E4105900,50.9075195,6.9416307,79,100,97,63,50,50
CRS3035RES100mN3094200E4105400,Raster CRS3035RES100mN3094200E4105400,50.9190057,6.9337576,79,100,94,63,50,50
CRS3035RES100mN3099300E4106800,Raster CRS3035RES100mN3099300E4106800,50.9653303,6.9506464,79,100,99,57,50,50
CRS3035RES100mN3094000E4107700,Raster CRS3035RES100mN3094000E4107700,50.9180713,6.9665583,79,100,99,59,50,50
CRS3035RES100mN3093900E4107600,Raster CRS3035RES100mN3093900E4107600,50.917136,6.9651959,79,100,99,59,50,50
CRS3035RES100mN3096300E4105400,Raster CRS3035RES100mN3096300E4105400,50.9378639,6.9325129,79,100,97,63,50,50
CRS3035RES100mN3093600E4106300,Raster CRS3035RES100mN3093600E4106300,50.9139558,6.9469006,79,100,95,63,50,50
CRS3035RES100mN3096000E4105800,Raster CRS3035RES100mN3096000E4105800,50.9353205,6.9383768,79,100,95,63,50,50
CRS3035RES100mN3095400E4111400,Raster CRS3035RES100mN3095400E4111400,50.9320109,7.0183298,79,100,99,59,50,50
CRS3035RES100mN3098400E4104200,Raster CRS3035RES100mN3098400E4104200,50.9562684,6.9142014,79,100,100,57,50,50
CRS3035RES100mN3091400E4109400,Raster CRS3035RES100mN3091400E4109400,50.8953529,6.9922261,79,100,96,63,50,50
CRS3035RES100mN3093500E4105900,Raster CRS3035RES100mN3093500E4105900,50.9129076,6.9412763,79,100,96,63,50,50
CRS3035RES100mN3095100E4106100,Raster CRS3035RES100mN3095100E4106100,50.9273511,6.9431731,79,100,95,63,50,50
CRS3035RES100mN3098500E4104100,Raster CRS3035RES100mN3098500E4104100,50.9571285,6.9127195,79,100,100,57,50,50
CRS3035RES100mN3093900E4104100,Raster CRS3035RES100mN3093900E4104100,50.9158205,6.9154636,79,100,95,63,50,50
CRS3035RES100mN3097300E4102900,Raster CRS3035RES100mN3097300E4102900,50.9458963,6.8963743,79,100,86,73,50,50
CRS3035RES100mN3095500E4111500,Raster CRS3035RES100mN3095500E4111500,50.9329456,7.0196937,79,100,99,59,50,50
CRS3035RES100mN3094800E4107400,Raster CRS3035RES100mN3094800E4107400,50.9251437,6.9618257,79,100,100,59,50,50
CRS3035RES100mN3094000E4104900,Raster CRS3035RES100mN3094000E4104900,50.9170211,6.9267714,79,100,96,63,50,50
CRS3035RES100mN3105600E4104100,Raster CRS3035RES100mN3105600E4104100,51.0208854,6.9084722,79,100,96,61,50,50
CRS3035RES100mN3094600E4104800,Raster CRS3035RES100mN3094600E4104800,50.9223714,6.924994,79,100,95,63,50,50
CRS3035RES100mN3094500E4107400,Raster CRS3035RES100mN3094500E4107400,50.9224496,6.9620019,79,100,98,59,50,50
