cell_id,latitude,longitude,housing_units,mfh_share,building_count_zensus,mfh_buildings_zensus,source
CRS3035RES100mN3098000E4104200,50.9526764,6.9144401,179.50,0.8788,33,29,Zensus 2022 / Destatis
CRS3035RES100mN3099400E4106100,50.9659656,6.9406303,179.50,0.4634,41,19,Zensus 2022 / Destatis
CRS3035RES100mN3097600E4104700,50.9492737,6.9217883,179.00,0.6750,40,27,Zensus 2022 / Destatis
CRS3035RES100mN3097900E4104800,50.9520055,6.9230317,179.00,0.7576,33,25,Zensus 2022 / Destatis
CRS3035RES100mN3098700E4106600,50.9598672,6.9481558,179.00,0.7000,40,28,Zensus 2022 / Destatis
CRS3035RES100mN3095200E4106800,50.9285115,6.9530630,177.00,0.8889,27,24,Zensus 2022 / Destatis
CRS3035RES100mN3097300E4106800,50.9473699,6.9518258,177.00,0.8000,30,24,Zensus 2022 / Destatis
CRS3035RES100mN3093500E4104600,50.9124177,6.9228058,175.50,1.0000,21,21,Zensus 2022 / Destatis
CRS3035RES100mN3095300E4105800,50.9290344,6.9387910,175.50,1.0000,25,25,Zensus 2022 / Destatis
CRS3035RES100mN3096900E4110700,50.9452249,7.0075121,175.50,1.0000,27,27,Zensus 2022 / Destatis
CRS3035RES100mN3098100E4107100,50.9546664,6.9556205,175.50,1.0000,21,21,Zensus 2022 / Destatis
CRS3035RES100mN3098400E4104000,50.9561925,6.9113571,175.50,1.0000,23,23,Zensus 2022 / Destatis
CRS3035RES100mN3094800E4106200,50.9246945,6.9447715,174.00,0.8846,26,23,Zensus 2022 / Destatis
CRS3035RES100mN3095800E4108400,50.9344963,6.9754534,174.00,0.9000,30,27,Zensus 2022 / Destatis
CRS3035RES100mN3095900E4106000,50.9344976,6.9412789,174.00,0.8966,29,26,Zensus 2022 / Destatis
CRS3035RES100mN3096400E4106000,50.9389877,6.9409833,174.00,0.9143,35,32,Zensus 2022 / Destatis
CRS3035RES100mN3096700E4103200,50.9406226,6.9009992,174.00,0.8800,25,22,Zensus 2022 / Destatis
CRS3035RES100mN3095600E4109900,50.9332556,6.9968922,172.50,0.8696,23,20,Zensus 2022 / Destatis
CRS3035RES100mN3097800E4106900,50.9518975,6.9529531,172.50,0.8929,28,25,Zensus 2022 / Destatis
CRS3035RES100mN3095000E4107000,50.9267903,6.9560233,171.50,0.8214,28,23,Zensus 2022 / Destatis
CRS3035RES100mN3094400E4104300,50.9203863,6.9180077,171.00,1.0000,23,23,Zensus 2022 / Destatis
CRS3035RES100mN3094900E4107200,50.9259670,6.9589246,171.00,1.0000,26,26,Zensus 2022 / Destatis
CRS3035RES100mN3095100E4106300,50.9274261,6.9460156,171.00,0.7778,27,21,Zensus 2022 / Destatis
CRS3035RES100mN3096800E4103100,50.9414826,6.8995176,171.00,1.0000,19,19,Zensus 2022 / Destatis
CRS3035RES100mN3096300E4106000,50.9380897,6.9410424,170.50,0.7297,37,27,Zensus 2022 / Destatis
CRS3035RES100mN3097600E4104400,50.9491602,6.9175226,169.50,0.9000,30,27,Zensus 2022 / Destatis
CRS3035RES100mN3098800E4107200,50.9609899,6.9566305,169.50,0.8846,26,23,Zensus 2022 / Destatis
CRS3035RES100mN3094700E4107200,50.9241709,6.9590421,168.50,0.7576,33,25,Zensus 2022 / Destatis
CRS3035RES100mN3095600E4106500,50.9319912,6.9485633,168.00,0.7568,37,28,Zensus 2022 / Destatis
CRS3035RES100mN3097500E4107100,50.9492782,6.9559737,168.00,0.8846,26,23,Zensus 2022 / Destatis
CRS3035RES100mN3093600E4105100,50.9135045,6.9298505,166.50,1.0000,21,21,Zensus 2022 / Destatis
CRS3035RES100mN3094400E4106900,50.9213647,6.9549551,166.50,1.0000,24,24,Zensus 2022 / Destatis
CRS3035RES100mN3095900E4110000,50.9359866,6.9981396,166.50,1.0000,24,24,Zensus 2022 / Destatis
CRS3035RES100mN3096200E4105600,50.9370412,6.9354153,166.50,0.7857,28,22,Zensus 2022 / Destatis
CRS3035RES100mN3093100E4107900,50.9100634,6.9699271,165.00,0.9091,33,30,Zensus 2022 / Destatis
CRS3035RES100mN3099600E4107000,50.9680992,6.9533144,165.00,0.8571,21,18,Zensus 2022 / Destatis
CRS3035RES100mN3097700E4104800,50.9502095,6.9231507,163.50,0.6667,36,24,Zensus 2022 / Destatis
CRS3035RES100mN3094500E4104900,50.9215112,6.9264745,162.00,0.8065,31,25,Zensus 2022 / Destatis
CRS3035RES100mN3094800E4104900,50.9242052,6.9262963,162.00,1.0000,22,22,Zensus 2022 / Destatis
CRS3035RES100mN3095700E4106400,50.9328518,6.9470829,162.00,1.0000,21,21,Zensus 2022 / Destatis
CRS3035RES100mN3095800E4108300,50.9344592,6.9740319,162.00,1.0000,23,23,Zensus 2022 / Destatis
CRS3035RES100mN3097900E4107200,50.9529077,6.9571603,162.00,1.0000,24,24,Zensus 2022 / Destatis
CRS3035RES100mN3098200E4110900,50.9569730,7.0096040,162.00,1.0000,24,24,Zensus 2022 / Destatis
CRS3035RES100mN3098500E4106500,50.9580337,6.9468517,162.00,1.0000,23,23,Zensus 2022 / Destatis
CRS3035RES100mN3098600E4110100,50.9602707,6.9979941,162.00,1.0000,26,26,Zensus 2022 / Destatis
CRS3035RES100mN3099900E4110900,50.9722398,7.0086202,162.00,1.0000,21,21,Zensus 2022 / Destatis
CRS3035RES100mN3099300E4106900,50.9653677,6.9520688,161.00,0.8333,24,20,Zensus 2022 / Destatis
CRS3035RES100mN3098800E4106700,50.9608027,6.9495191,160.00,0.6452,31,20,Zensus 2022 / Destatis
CRS3035RES100mN3095400E4103900,50.9292147,6.9117269,159.00,0.8125,32,26,Zensus 2022 / Destatis
CRS3035RES100mN3097700E4104700,50.9501717,6.9217288,158.00,0.5750,40,23,Zensus 2022 / Destatis
CRS3035RES100mN3094600E4104800,50.9223714,6.9249940,157.50,1.0000,20,20,Zensus 2022 / Destatis
CRS3035RES100mN3095100E4106400,50.9274636,6.9474369,157.50,1.0000,22,22,Zensus 2022 / Destatis
CRS3035RES100mN3096500E4105600,50.9397353,6.9352376,157.50,1.0000,22,22,Zensus 2022 / Destatis
CRS3035RES100mN3097500E4107200,50.9493156,6.9573957,157.50,1.0000,23,23,Zensus 2022 / Destatis
CRS3035RES100mN3098300E4107300,50.9565372,6.9583470,157.50,1.0000,19,19,Zensus 2022 / Destatis
CRS3035RES100mN3098600E4106300,50.9588567,6.9439482,157.50,1.0000,23,23,Zensus 2022 / Destatis
CRS3035RES100mN3098800E4106900,50.9608776,6.9523636,157.50,1.0000,21,21,Zensus 2022 / Destatis
CRS3035RES100mN3097600E4105100,50.9494249,6.9274760,156.50,0.8710,31,27,Zensus 2022 / Destatis
CRS3035RES100mN3094400E4105000,50.9206509,6.9279549,156.00,0.8889,27,24,Zensus 2022 / Destatis
CRS3035RES100mN3095800E4104700,50.9331097,6.9228594,156.00,0.8696,23,20,Zensus 2022 / Destatis
CRS3035RES100mN3095900E4106300,50.9346103,6.9455433,156.00,0.8889,27,24,Zensus 2022 / Destatis
CRS3035RES100mN3095300E4110000,50.9305983,6.9984877,155.50,0.7407,27,20,Zensus 2022 / Destatis
CRS3035RES100mN3094500E4104700,50.9214356,6.9236324,155.00,0.6923,26,18,Zensus 2022 / Destatis
CRS3035RES100mN3098900E4111800,50.9635894,7.0220007,154.50,0.8750,24,21,Zensus 2022 / Destatis
CRS3035RES100mN3099000E4106700,50.9625988,6.9494010,154.50,0.8929,28,25,Zensus 2022 / Destatis
CRS3035RES100mN3094400E4104800,50.9205754,6.9251128,154.00,0.7500,28,21,Zensus 2022 / Destatis
CRS3035RES100mN3093900E4104600,50.9160098,6.9225680,153.00,1.0000,21,21,Zensus 2022 / Destatis
CRS3035RES100mN3093900E4104700,50.9160476,6.9239889,153.00,1.0000,19,19,Zensus 2022 / Destatis
CRS3035RES100mN3094000E4104500,50.9168700,6.9210877,153.00,1.0000,20,20,Zensus 2022 / Destatis
CRS3035RES100mN3094300E4104000,50.9193747,6.9138042,153.00,1.0000,17,17,Zensus 2022 / Destatis
CRS3035RES100mN3094900E4106900,50.9258549,6.9546609,153.00,1.0000,22,22,Zensus 2022 / Destatis
CRS3035RES100mN3096000E4110100,50.9369215,6.9995032,153.00,1.0000,23,23,Zensus 2022 / Destatis
CRS3035RES100mN3097000E4104100,50.9436586,6.9136150,153.00,1.0000,17,17,Zensus 2022 / Destatis
CRS3035RES100mN3097500E4105000,50.9484891,6.9261135,153.00,1.0000,23,23,Zensus 2022 / Destatis
